Name,Email,Country,City,Graduation Year,Latitude,Longitude
Todd Mcgrath,anthonycross@rivera.info,Switzerland,New James,2020,-35.29112207773992,-66.59183922756776
Meredith Molina,jensendavid@zuniga.biz,Cambodia,East Amanda,2008,83.4764924378158,77.51742770365047
Donna Young,lisa49@yahoo.com,South Korea,Taylorhaven,2010,-7.757428933385924,80.04386881951746
Sheila Everett,freemantyler@bray-wallace.com,Fiji,Dawnchester,2010,-43.454907704140055,167.41377980187843
Holly Calderon,ramosjohn@hotmail.com,Venezuela,South Jeanettetown,2012,-18.392422962316104,-53.92616268311701
Robert Lucas,anita35@yahoo.com,Puerto Rico,New Francesview,2010,16.92688529185388,120.86112798402701
Michelle Fields,ndavis@hotmail.com,South Korea,South Kevin,2014,80.24007596687642,90.13170462315736
James Guerrero,owensjeffrey@davis-aguirre.com,Singapore,Stephensview,2023,-63.56875523139662,147.76181804232516
Christina Hicks,patrickmonroe@stewart.com,Kazakhstan,North Samuelburgh,2020,70.68919254762159,-102.38045894281105
Ms. Carolyn Morris MD,gilmorezachary@yahoo.com,India,East Sarahtown,2014,79.10521970698335,98.80771509233347
Erik Miller,scottsingh@evans.com,United Kingdom,West Chadshire,2005,76.70074335297755,55.095070074746445
Emily Bates,karidoyle@gmail.com,Indonesia,Port Kristen,2015,2.3946100244100847,130.84837276214358
Samuel Compton,jamesschneider@gmail.com,South Korea,East Jenniferberg,2011,-48.168228202386516,-33.000268093235604
Mary Ward,parksanthony@yahoo.com,Turkey,Lake Jonathan,2019,60.17097490383759,109.0134224759293
Natalie Jenkins,christophergriffin@gmail.com,Fiji,East Victoria,2006,-41.63548867759988,6.517076726856317
Ryan Horn,nathanbernard@gmail.com,Sri Lanka,Wagnertown,2014,-71.84870300783871,154.22283945925915
Erica Delacruz,stevensbrenda@marshall.com,Mexico,West Amandastad,2005,-19.57766827501095,-125.72404926671821
Wendy Morgan,sthompson@hamilton.net,Canada,Port Michaeltown,2014,70.3908458509782,36.040393155189264
Mrs. Whitney Garcia PhD,jamiezuniga@fry-walker.com,Poland,West Davidfort,2016,82.66362988623973,15.599816937707345
Robert Martinez,emathis@parker.org,Philippines,East Austinton,2023,-64.30615482619878,-29.5719515058515
Gregory Perry,lhill@jones.net,Israel,South Ashleybury,2007,-22.023329380895277,-131.64081101422346
Jessica Hughes,martinezryan@kerr.com,Turkey,South Brittany,2023,65.47590108005295,159.915860727591
Jesse Rush,todd53@white.info,Puerto Rico,North Nathan,2019,-64.89256251461941,99.55896497108972
Jeffery Oliver,gomezkimberly@gmail.com,Fiji,Huangberg,2010,-49.1546200630491,102.21130034253054
Daniel Estrada,pgoodwin@stewart-schultz.info,Ghana,Port Kennethburgh,2009,33.139922670660695,-79.38120134024857
Christine Rodriguez,howard53@gmail.com,Nepal,Taylormouth,2019,-55.80327472404444,14.902834341402155
Courtney Lee,jonathonburke@contreras-murray.com,France,Jennifershire,2019,-85.21090320038138,-40.99843287615215
Allison Wilson,crystal79@yahoo.com,Italy,South Richard,2008,-25.649590818664336,23.50054335208995
George Chavez,reneebishop@yahoo.com,Ghana,Michelleview,2023,17.090440099629404,-83.28280909546666
Troy Hays,colleenschneider@mendez-dominguez.com,South Africa,South Jaredburgh,2008,-35.5416472855235,79.11574325807027
Charles Rogers,rushpamela@yahoo.com,Puerto Rico,Port Stacie,2014,37.96811231810946,-150.7204294211659
Alyssa Simmons,kellyjames@mccoy-brandt.com,Ghana,Alexberg,2020,33.51165910171002,116.89872771350264
Patricia Duncan,william14@yahoo.com,Venezuela,Wrightburgh,2005,89.23245343934545,-173.8843426764887
Robert Sandoval,kelsey62@medina-lewis.com,India,New Janetchester,2012,20.6123165321862,-146.01197151174392
Hannah French,katherinerobbins@yahoo.com,Sri Lanka,Shepardborough,2016,-21.427405701297914,-96.59325120834015
William Marshall,dzhang@hotmail.com,Fiji,Lake Sydney,2013,-30.8363594024421,160.8685699455017
Holly Murray,andrew55@hotmail.com,Poland,Acevedoburgh,2006,37.46237716678412,33.49178965846687
Dana Ballard,stevemarshall@simmons-butler.com,Denmark,East Elizabeth,2012,-31.656583978880363,121.43017121313471
Brian Adams,justin55@hill.org,France,West Julian,2018,-35.732032156831735,44.764480271677996
Christopher Bentley,andersonjeremy@salazar.info,Nigeria,Ortegaborough,2005,-14.916308750598049,-89.97757606753468
Mary Ruiz,harrislaura@yahoo.com,Australia,Jamesstad,2009,-77.24497711469128,103.41182484622777
Brian King,ykaiser@calderon.com,Italy,Hendersonborough,2011,46.86545498209398,26.232203492399407
Joyce Walker,margaretmorgan@ramirez.com,Thailand,Nguyenfort,2017,-13.89659349287308,-129.6998771917219
Anthony Allison,rhonda96@yahoo.com,South Africa,Lake John,2009,-75.77657927393145,-77.39289057245763
Nicole Meyer,ddavis@strickland-berger.info,Puerto Rico,South Jennifer,2015,-36.77039505864034,-64.92463835748914
Sara Reyes,rwhite@hotmail.com,United States,Kleinport,2021,-61.70692420268116,24.441501445614847
Deborah Barrera,hayley50@yahoo.com,Thailand,New Stephanieland,2022,1.6170427906797755,165.48326961949851
David Maddox,pcain@nelson.net,Taiwan,New David,2005,63.59667840789754,-110.30865861866715
John Berry,john49@yahoo.com,Nepal,New Shawnaborough,2010,-55.3867875675927,99.90352396015084
Jamie King,kmarshall@harper.info,Switzerland,West Amy,2008,1.5674101286953572,-147.25752074914664
Scott Butler,nevans@yahoo.com,Ethiopia,West Lisa,2017,-59.872910389175054,14.135271183658688
Jeffrey Burke,huynhzachary@dean.info,Poland,Mcconnellberg,2023,88.72824734562514,-1.8661066903953554
Barbara Brooks,fmoore@byrd.info,India,Copelandchester,2005,49.56893715347891,148.97287691339096
Michael Pineda,matthew94@yahoo.com,Argentina,East Andrea,2006,4.367893204610141,16.700246323452916
Kara Webster,hhayes@gmail.com,Kenya,Lake Cindyville,2012,-89.049772288834,-1.3671748941910096
Christian Harris,reynoldsheidi@yahoo.com,Ghana,East Katelynchester,2022,50.71689813374806,105.32118866289665
Antonio Taylor,stephenmercado@yahoo.com,Ethiopia,Jaredmouth,2022,22.37048613392109,-35.18402734242889
Lori Davis,ericapope@price.net,Singapore,Briannaton,2010,-46.748846810520085,146.16363687505822
Jacqueline Myers,todd33@brown-wright.info,Mexico,West Kelly,2007,-88.27282575064805,121.85323402667495
Andrew Ware,beckpatricia@hotmail.com,Nepal,Michaelville,2007,-47.09074543884693,-1.234573292868589
Edward Long,jennifer50@bray.com,South Korea,New Heathermouth,2012,-7.93046310258643,54.014328622169984
Jeremy Melton,amberlane@yahoo.com,United Kingdom,Lake Melanie,2016,-16.147542864348566,150.49437158576274
Andrew Dixon,rschmidt@adams-jones.net,South Africa,East Ryanborough,2008,81.05704209878996,-35.53945269626581
Shannon Clark,knightmichael@young.info,Turkey,Richardland,2009,27.241318511109085,-135.91855559049174
Kristen Novak,gina16@hebert-huber.com,Brazil,Castrohaven,2023,11.93892604614588,31.975758288250233
Ashley Martin,sharonrandolph@hotmail.com,South Korea,South Janetshire,2008,50.290070108636854,-65.81569540806645
Margaret Perkins,hammondrobert@perez-garcia.info,Uruguay,Claudiamouth,2018,72.2663369003555,155.09094569245525
James Acosta,morenojeanette@yahoo.com,Singapore,Wallaceberg,2024,66.71001636973716,3.181891288790297
Michael Porter,michaelrogers@yahoo.com,Uruguay,Brandonside,2013,-76.96499436217744,-110.0044201599645
Sharon Malone,shannonaguilar@brown.info,Canada,New Lauren,2018,21.009309900704125,139.75283214971574
Amber Walker,caitlinjohnson@yahoo.com,Germany,Natalietown,2009,-16.997446431886445,-72.21340236393999
Lauren Wade,martineztimothy@gmail.com,Uruguay,South Angieport,2011,63.57312542277225,-68.29897739926747
Helen Davis,jacobssharon@hoover.com,Paraguay,Lake Douglashaven,2008,-58.11523628413199,-135.10064098962172
Christina Gordon,feliciabrown@hotmail.com,Brazil,Port Shawnside,2020,-89.0833425164834,-36.794598862178646
Aaron Shaw,james05@hodges.com,Paraguay,North Nancychester,2010,79.0925109974169,-131.10071604001286
Micheal Jacobson,fchavez@ross.info,United Kingdom,East Sarah,2012,64.30544821050546,-69.58027450735005
Denise Ellis,brenda30@evans.com,Thailand,Perryshire,2010,-63.229205108907195,-136.8591683809972
Bruce Lopez,michael58@aguirre.biz,New Zealand,Phillipschester,2007,-1.8248508035975135,-108.32619857567569
Donna Serrano,edward00@hotmail.com,Israel,Martinezmouth,2017,-50.82200359004971,55.245379140997215
Alexander Estrada,gloriatorres@stevenson.com,Australia,Yvonneberg,2018,-50.3155236061862,83.49598728966885
Ronald Vasquez,kramercolleen@gmail.com,Thailand,South Phillip,2016,70.45286163955905,-171.68801767536323
Susan Robles,hawkinsrandy@horton.com,Thailand,Laurashire,2006,-44.47739781953898,-51.38452031685949
Beverly Walls,edgar94@gmail.com,South Korea,Christianmouth,2014,-81.35395691650507,-37.23800525276678
Brian Harris,paulkennedy@gmail.com,Nepal,Travisbury,2024,54.070300320406716,-54.20541610764518
Heather Morris,angelicamerritt@hotmail.com,Germany,Julieland,2014,76.3573605859327,-83.60928926508474
Jeffrey Stone,mdougherty@hotmail.com,Japan,Katelynville,2021,-40.057792634501325,-167.73623183007314
Lisa Gomez,mason08@russell.com,Uruguay,South Nicholas,2023,-72.07431178183133,-67.713387622011
Richard Stanley,careycindy@torres-weiss.com,Nepal,New Ericbury,2022,-23.558968063252138,-137.57451377834633
Jonathan Thompson,rsteele@gmail.com,Puerto Rico,Martinchester,2014,18.19548763628029,95.52096320435487
Patricia Parker,wmunoz@yahoo.com,United Kingdom,Randallbury,2014,-52.86312969836158,99.36715356926521
Michael Johnson,brookeliu@gmail.com,Canada,Ryanmouth,2007,67.16492437296952,-0.7118718661831167
Kristen Kline,jfernandez@gmail.com,Australia,New Stephanie,2022,-3.2055494110321803,-96.46758719276197
Shelly Ramirez,cathy51@peterson.com,Cambodia,Webbview,2024,-88.1977828760905,88.35177918978263
Megan Thompson,nelsonrachel@harrington.com,United States,South Alvinhaven,2008,41.46057294109772,-48.666544669068884
John Aguilar,melissa48@yahoo.com,Indonesia,Krauseport,2021,11.559882940255022,59.47912408568823
Michaela Vang,rhondagardner@chang.org,Brazil,Michaelside,2024,-85.94203884023533,-11.347686129983828
Daniel Dunlap,xdeleon@hotmail.com,Japan,North Matthewburgh,2018,20.896087486604486,-87.85447072399978
Rebecca Richardson,kathrynjacobs@gmail.com,Russia,Raymondville,2014,-59.60299222121961,-16.631087405907465
Christopher Anderson,sanchezrichard@hotmail.com,Kazakhstan,East Dennisfurt,2010,82.42628908208738,-6.934191069987548
Johnny Davis,nathan05@reyes.org,Sri Lanka,Cameronland,2014,56.97591174859747,-108.33890279223064
Victoria Calderon,holly20@hotmail.com,India,Bushville,2016,10.068129506607335,17.97782615385907
Angela Clark,jessica63@fischer.com,Russia,Johnnybury,2016,64.59203475337654,-153.01668081472516
Ian Torres,ashley31@chang.info,Kenya,Powersport,2011,20.07964258953757,62.42017898340268
Ms. Mariah Brown,pjohnson@beard.info,Uruguay,Meltonberg,2016,-6.896503453496052,-52.17138887676924
Tara Ho,wrightvicki@yahoo.com,Kenya,New Karen,2019,-24.96977587699091,-92.24000937418991
Nicole Williams,williamshannah@yahoo.com,Peru,South Tina,2015,63.621350513713054,34.295145303356406
Laura Williams,michelle15@peters-cox.com,Philippines,Louisburgh,2013,14.00412186092521,-25.049551933093312
Kimberly Mendoza,nataliehammond@gmail.com,Denmark,South Melissachester,2006,-88.28752738388198,-111.98888249242127
Jordan Gibson,nicholas14@gmail.com,Australia,Hardinfurt,2008,68.522574480266,-165.7149571327005
Lisa Larson,jasmineadams@monroe.net,United States,South Whitney,2021,45.95701399783877,-87.27235037844777
Amber Morgan,terrancejohnson@hotmail.com,Italy,Lake Christopherside,2005,40.09679958258624,-6.2567616747892885
Jamie Rios,rebeccalopez@odom.biz,Australia,Thompsonfurt,2020,85.9181292892849,-4.4629805139300345
Alicia Ponce,robertspeter@hotmail.com,Nepal,North Elizabethville,2023,-7.018382699978957,139.50141209313944
Christopher Hill Jr.,stevenbradford@yahoo.com,Indonesia,Port Eric,2020,64.2108816112314,108.47752741934971
Sharon Archer,hilllaurie@hotmail.com,Italy,Marshallshire,2006,-69.3556489250911,-178.8190249622163
Melissa Wilkins,chadgordon@yahoo.com,Venezuela,New Ericshire,2021,-64.72237772194651,121.65032579498023
Connie Bishop,jbass@yahoo.com,Germany,Moodyburgh,2024,6.023484541920752,-131.24567093767556
Zachary Medina,zrobles@jones.com,France,Dennisburgh,2011,-14.19147196453929,33.781282957703866
Kimberly Martin,yfleming@hotmail.com,Argentina,Lake Debbie,2011,78.62872062046566,139.73029770360068
Daniel Scott,frances65@gmail.com,Italy,Brewerview,2010,-83.08151642416975,35.9845884846963
Tara George,lukeyoung@russo-ramsey.biz,Israel,Everettfort,2015,-16.02621791332666,106.05192391553805
Ruben Stevens,xhines@nichols.net,Switzerland,New Kaitlyn,2019,-1.0363718554710033,-45.17741010690119
Pamela Proctor,vdickerson@hamilton.com,Israel,Davidside,2014,-3.742392661155762,128.49137092375173
Jesse Parker,webbolivia@johnson.com,Hungary,Mcmahonfurt,2019,-45.34680345715448,-64.41603550374549
Eric Mckenzie,hrobbins@yahoo.com,Peru,East Bradleyhaven,2007,52.20236371819195,45.398931836542175
Frank Hester,powellkatie@collins.com,Mexico,North Peter,2005,-12.923067861254978,170.2583721631092
Susan Morales,xsullivan@gmail.com,Brazil,Connieberg,2009,-4.45936206990369,134.95282724187933
Kevin Martin,sandracarter@gilbert.net,Canada,West Hannah,2009,-37.569815381201735,150.91594071716491
Marilyn White,annaunderwood@yahoo.com,France,Caitlynburgh,2016,44.694892892720645,-142.33105610761788
Sean Wilson,thomas51@hotmail.com,Cambodia,Lake Patrick,2021,34.66466530234207,170.24696870792394
Joshua Roman,nicholasjohnson@peterson-travis.org,Uruguay,Josephshire,2024,71.61137396562316,-52.103561285262316
Jacob Wang,ellisjoseph@mathews-trevino.org,Thailand,Woodwardfurt,2014,-84.77606638954293,-133.05443451459655
John Mack DDS,kayladavidson@gmail.com,Mexico,Randallchester,2020,45.051438740440744,123.8492921601486
Teresa Peterson,matthew87@gray-cain.com,Nepal,Petersonshire,2021,74.57737414888777,-29.003574704424494
Rachel Salinas,anita93@simpson.net,Kenya,Georgechester,2012,19.977477445651417,-62.24881774097351
Suzanne Harrington,rose96@yahoo.com,Uruguay,New Toddberg,2012,-68.8647040347785,-63.569122289779685
Christopher Smith,zferrell@yahoo.com,Ethiopia,New Nicoletown,2012,53.84174231794427,92.43062751307372
Megan Reynolds,zgray@gmail.com,Italy,Darrenstad,2019,2.2726502539954225,87.8067924689297
Martin Roberts,armstrongthomas@harding-clark.com,United Kingdom,Bethbury,2007,-66.21735015403694,-97.42615302635863
Michael Ortega,kayla46@yahoo.com,Mexico,West Amanda,2014,22.812581764014823,-135.34358312683722
Bradley Rose,miguel61@thompson.com,Vietnam,New John,2008,16.675678247045454,157.4270608859494
Holly Fowler,ricenichole@mays.com,Cambodia,East William,2017,-50.29818909186672,25.503704230077545
Mr. George Day,riveradanielle@hotmail.com,Ethiopia,Kathleenborough,2013,20.737659990505094,178.930307072152
Lisa Jones,stevenspeter@moyer.info,Kazakhstan,Smithport,2008,-43.087328950810665,-172.5174468807529
Jessica Hill,xperez@gmail.com,Israel,New Nathan,2009,68.06298436233826,-91.063548554699
Anthony Williams,lopezmatthew@higgins-stewart.com,Ethiopia,Joneshaven,2020,43.338317997721475,48.9828998470436
Mario Jenkins,russellchristopher@wagner-bailey.com,Puerto Rico,Michaelshire,2016,-1.4810125389585949,-177.69460710963983
Kristopher Austin,smithheather@alexander.com,New Zealand,North Andrewfurt,2007,-3.5081454580947025,20.246230497044365
Robert Bond,donna02@yahoo.com,Ethiopia,Shortstad,2018,-25.335073676973025,110.73940286183472
Robert Wilson,harperroger@thomas.com,Indonesia,Youngmouth,2019,-64.91943355379362,-92.74727285511507
Jason Padilla,gibbsharold@yahoo.com,Philippines,South Michael,2014,57.553734674654265,125.78278167207912
Steven Combs MD,rivasjames@yahoo.com,Paraguay,Schmidtbury,2019,-74.85434642887245,91.03599232742255
Johnny Diaz,stoneveronica@santana-brown.com,New Zealand,Singletonberg,2022,19.666739495416707,48.352487359513674
Paul Wolfe,stephen34@yahoo.com,Nepal,Lake Bryan,2018,-64.95926711188628,-95.37676068929676
James Mayer,blackburnduane@yahoo.com,Kazakhstan,Kevinchester,2007,86.72563338681104,-31.025830760447974
John Kennedy,jacobdudley@harrison.biz,Vietnam,East Chelsea,2014,59.237973236886205,20.944416823991958
Martin Cain,keithwilliams@hotmail.com,Poland,New Daniel,2021,-61.350041877352766,146.26867889411795
Eric Lewis,fcarpenter@crane-harris.org,Australia,New Debbietown,2015,53.84499277174041,97.10972016818016
Mark Nguyen,staceykrueger@yahoo.com,Denmark,Lake Ianstad,2010,-15.389346188884701,-147.13603368848158
Amy Graves,lphillips@yahoo.com,Kenya,Taylorstad,2024,-9.86195566369058,52.10082307439404
Linda Myers,christiansanchez@yahoo.com,Israel,Morenoport,2011,44.17117573686653,-47.33427547261019
Melissa Palmer,kathleen05@yates-haley.net,Fiji,New Kim,2021,48.13867870906364,148.8786429218389
Ashley Bowers,yowen@parrish-herman.com,Poland,Reillyview,2015,7.001306721686291,-125.25715385178495
Stacey Taylor,ashleyanderson@hotmail.com,Israel,Erichaven,2010,-31.43536300733563,68.41667075493206
Kenneth Vazquez,seth70@simmons-carlson.biz,Italy,Carrstad,2013,39.869788103445956,-7.6413019850154456
Randall Levine,beverlygilbert@gmail.com,Vietnam,Englishport,2010,54.415433699543485,103.18748940441986
Dr. Jamie Chapman DDS,lee84@hotmail.com,Uruguay,Brandonburgh,2021,-74.4327220395529,-15.108949317462361
Mark Rodriguez,kelly57@gmail.com,Kazakhstan,New Robertville,2011,21.798532965893557,-101.46210440806978
Tiffany Munoz,barbara50@gmail.com,Philippines,Lake Sandra,2009,9.191649111609337,72.23469995842558
Timothy Rodgers,fperry@hotmail.com,Cambodia,Jacksonshire,2018,-20.627332948235022,-41.949675758176426
Sarah Friedman,nmyers@yahoo.com,Vietnam,East Matthewburgh,2018,-56.55224401270218,-149.6583559471806
Devin Pierce,daniel84@duke.net,Cambodia,North Brianna,2011,79.79792006199585,-49.08339375884083
Richard Chavez,hickmannancy@hotmail.com,South Korea,Adrianhaven,2021,-34.12657365129621,14.818183274779017
Miss Pamela Blackwell DVM,matthew04@johnston.com,Italy,East Kellytown,2014,27.837447479390107,175.2030281032662
Janice Davidson,molinataylor@gmail.com,Cambodia,East Moniqueview,2007,-56.61138023733996,-123.62676708443573
John Fleming,mmelendez@yahoo.com,France,East Michaelport,2008,-88.87044441798145,-12.995356606513354
Jennifer Pierce,xwang@jones-king.com,South Africa,Port Mary,2005,-22.039068067169595,-10.091074710440239
Linda Robinson,nicole27@yahoo.com,Nepal,Foxville,2006,73.20090491227904,67.35547526346429
Alyssa Mitchell,schneiderdaniel@gmail.com,Puerto Rico,Feliciamouth,2006,-40.68889402291051,175.05090809432892
Elizabeth Johnson,arthurali@gmail.com,Ethiopia,Jonathanhaven,2011,-33.73122746110295,62.451368016279304
William Mullen,masontina@gmail.com,Canada,South Anna,2007,-43.546405041377284,-139.12070414444216
Joseph Smith,timothyreed@yahoo.com,Singapore,Josephview,2012,-9.73488124197823,137.1350585079112
Susan Cardenas,halldouglas@gmail.com,Venezuela,North Kelly,2018,-58.14463026811252,61.536752624389294
Mary Ray,cindyfrey@clark.com,Canada,Edwardshire,2005,-63.87004084410434,-175.52773508522085
Jordan Oconnor,timothyharris@frye.info,Turkey,Sarahside,2015,-67.47515344466635,2.809258914635194
David Vargas,jgalloway@gmail.com,Uruguay,South Johnathanburgh,2016,14.099196615889767,-134.61172101683798
David Jackson,kingteresa@hotmail.com,Nigeria,East Austinborough,2009,-54.476773960120504,107.01872902968069
Rachel Larson,lpeterson@hotmail.com,Poland,Robbinsland,2023,41.32736015860377,-53.33456560849916
Laura Johnson,debrarivera@gmail.com,Mexico,Patrickberg,2014,-86.59231553272026,76.34853194382742
Thomas Paul,gcervantes@hampton.com,Philippines,Lake Holly,2013,-84.52614871228495,-44.900288765839576
Tiffany Cruz,victoriaparker@gmail.com,Vietnam,East Donna,2021,88.73525066246944,53.92302903787089
Amanda Bryan,turnerdaniel@kirk.biz,Philippines,Mckinneyview,2021,24.81420288072401,-46.54911830676966
